ind,top_5_ind_list,top_5_href,top_5_code
건설업,"['현대건설', 'GS건설', '대우건설', '한전KPS', 'DL이앤씨']","['https://finance.daum.net/quotes/A000720', 'https://finance.daum.net/quotes/A006360', 'https://finance.daum.net/quotes/A047040', 'https://finance.daum.net/quotes/A051600', 'https://finance.daum.net/quotes/A375500']","['000720', '006360', '047040', '051600', '375500']"
의약품,"['삼성바이오로직스', '셀트리온', 'SK바이오사이언스', '유한양행', '한미약품']","['https://finance.daum.net/quotes/A207940', 'https://finance.daum.net/quotes/A068270', 'https://finance.daum.net/quotes/A302440', 'https://finance.daum.net/quotes/A000100', 'https://finance.daum.net/quotes/A128940']","['207940', '068270', '302440', '000100', '128940']"
철강금속,"['POSCO홀딩스', '고려아연', '현대제철', '영풍', '동국제강']","['https://finance.daum.net/quotes/A005490', 'https://finance.daum.net/quotes/A010130', 'https://finance.daum.net/quotes/A004020', 'https://finance.daum.net/quotes/A000670', 'https://finance.daum.net/quotes/A001230']","['005490', '010130', '004020', '000670', '001230']"
증권,"['미래에셋증권', 'NH투자증권', '삼성증권', '메리츠증권', '키움증권']","['https://finance.daum.net/quotes/A006800', 'https://finance.daum.net/quotes/A005940', 'https://finance.daum.net/quotes/A016360', 'https://finance.daum.net/quotes/A008560', 'https://finance.daum.net/quotes/A039490']","['006800', '005940', '016360', '008560', '039490']"
금융업,"['KB금융', '신한지주', 'SK', '삼성생명', 'LG']","['https://finance.daum.net/quotes/A105560', 'https://finance.daum.net/quotes/A055550', 'https://finance.daum.net/quotes/A034730', 'https://finance.daum.net/quotes/A032830', 'https://finance.daum.net/quotes/A003550']","['105560', '055550', '034730', '032830', '003550']"
기계,"['두산에너빌리티', '한온시스템', '두산밥캣', '씨에스윈드', 'LIG넥스원']","['https://finance.daum.net/quotes/A034020', 'https://finance.daum.net/quotes/A018880', 'https://finance.daum.net/quotes/A241560', 'https://finance.daum.net/quotes/A112610', 'https://finance.daum.net/quotes/A079550']","['034020', '018880', '241560', '112610', '079550']"
화학,"['LG화학', 'SK이노베이션', 'S-Oil', '한화솔루션', 'LG생활건강']","['https://finance.daum.net/quotes/A051910', 'https://finance.daum.net/quotes/A096770', 'https://finance.daum.net/quotes/A010950', 'https://finance.daum.net/quotes/A009830', 'https://finance.daum.net/quotes/A051900']","['051910', '096770', '010950', '009830', '051900']"
서비스업,"['NAVER', '카카오', '삼성에스디에스', '크래프톤', '엔씨소프트']","['https://finance.daum.net/quotes/A035420', 'https://finance.daum.net/quotes/A035720', 'https://finance.daum.net/quotes/A018260', 'https://finance.daum.net/quotes/A259960', 'https://finance.daum.net/quotes/A036570']","['035420', '035720', '018260', '259960', '036570']"
전기전자,"['삼성전자', 'LG에너지솔루션', 'SK하이닉스', '삼성SDI', '삼성전자우']","['https://finance.daum.net/quotes/A005930', 'https://finance.daum.net/quotes/A373220', 'https://finance.daum.net/quotes/A000660', 'https://finance.daum.net/quotes/A006400', 'https://finance.daum.net/quotes/A005935']","['005930', '373220', '000660', '006400', '005935']"
운수장비,"['현대차', '기아', '현대모비스', '현대중공업', '한국조선해양']","['https://finance.daum.net/quotes/A005380', 'https://finance.daum.net/quotes/A000270', 'https://finance.daum.net/quotes/A012330', 'https://finance.daum.net/quotes/A329180', 'https://finance.daum.net/quotes/A009540']","['005380', '000270', '012330', '329180', '009540']"
유통업,"['삼성물산', 'BGF리테일', '호텔신라', '포스코인터내셔널', 'GS리테일']","['https://finance.daum.net/quotes/A028260', 'https://finance.daum.net/quotes/A282330', 'https://finance.daum.net/quotes/A008770', 'https://finance.daum.net/quotes/A047050', 'https://finance.daum.net/quotes/A007070']","['028260', '282330', '008770', '047050', '007070']"
음식료품,"['CJ제일제당', '오리온', '하이트진로', '농심', '오뚜기']","['https://finance.daum.net/quotes/A097950', 'https://finance.daum.net/quotes/A271560', 'https://finance.daum.net/quotes/A000080', 'https://finance.daum.net/quotes/A004370', 'https://finance.daum.net/quotes/A007310']","['097950', '271560', '000080', '004370', '007310']"
